District,Name,Office,Website,Photo,Party,County
29,Kevin Rader ,State Senator,http://www.flsenate.gov/Senators/s029,s29_5032.jpg,D,Broward/Palm Beach
30,Bobby Powell ,State Senator,https://www.flsenate.gov/Senators/s30,s30_5201.jpg,D,Palm Beach
31,Lori Berman ,State Senator,https://www.flsenate.gov/Senators/s31,s31_5339.jpg,D,Palm Beach
32,Lauren Book ,State Senator,https://www.flsenate.gov/Senators/s32,s32_5189.jpg,D,Broward
33,"Perry E. Thurston, Jr. ",State Senator,https://www.flsenate.gov/Senators/s33,s33_5191.jpg,D,Broward
34,Gary Farmer Jr. ,State Senator,https://www.flsenate.gov/Senators/s34,s34_5198.jpg,D,Broward
35,Oscar Braynon II ,State Senator,https://www.flsenate.gov/Senators/s35,s35_5007.jpg,D,Broward/Miami-Dade
36,Manny Diaz Jr. ,State Senator,https://www.flsenate.gov/Senators/s36,s36_5343.jpg,R,Miami-Dade
37,Jose Javier Rodriguez ,State Senator,https://www.flsenate.gov/Senators/s37,s37_5202.jpg,D,Miami-Dade
38,Jason W.B. Pizzo ,State Senator,https://www.flsenate.gov/Senators/s38,s38_5345.jpg,D,Miami-Dade
39,Anitere Flores ,State Senator,https://www.flsenate.gov/Senators/s39,s39_4783.jpg,R,Miami-Dade/Monroe
40,Annette Taddeo ,State Senator,https://www.flsenate.gov/Senators/s40,s40_5331.jpg,D,Miami-Dade
81,Tina Scott Polsky ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4751&LegislativeTermId=88,4751.jpg,D,Palm Beach
82,MaryLynn Magar ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4575&LegislativeTermId=88,4575.jpg,R,Martin/Palm Beach¾
85,Rick Roth ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4648&LegislativeTermId=88,4648.jpg,R,Palm Beach
86,Matt Willhite ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4649&LegislativeTermId=88,4649.jpg,D,Palm Beach
87,David Silvers ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4627&LegislativeTermId=88,4627.jpg,D,Palm Beach
88,Al Jacquet ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4628&LegislativeTermId=88,4628.jpg,D,Palm Beach
89,Michael A. Caruso ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4754&LegislativeTermId=88,4754.jpg,R,Palm Beach
90,Joseph A. Casello ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4750&LegislativeTermId=88,4750.jpg,D,Palm Beach
91,Emily Slosberg ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4635&LegislativeTermId=88,4635.jpg,D,Palm Beach
92,Patricia H. Williams ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4629&LegislativeTermId=88,4629.jpg,D,Broward
93,Chip LaMarca ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4722&LegislativeTermId=88,4722.jpg,R,Broward
94,Bobby B. DuBose ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4612&LegislativeTermId=88,4612.jpg,D,Broward
95,Anika Tene Omphroy ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4749&LegislativeTermId=88,4749.jpg,D,Broward
96,Kristin Diane Jacobs ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4613&LegislativeTermId=88,4613.jpg,D,Broward
97,Vacant Pending Special Election ,State Representative,0,,NA,Broward
98,Michael Gottlieb ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4724&LegislativeTermId=88,4724.jpg,D,Broward
99,Evan Jenne ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4365&LegislativeTermId=88,4365.jpg,D,Broward
100,Joseph Geller ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4614&LegislativeTermId=88,4614.jpg,D,Broward/Miami-Dade
101,Shevrin D. Jones ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4559&LegislativeTermId=88,4559.jpg,D,Broward
102,Sharon Pritchett ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4561&LegislativeTermId=88,4561.jpg,D,Broward/Miami-Dade
103,Cindy Polo ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4721&LegislativeTermId=88,4721.jpg,D,Broward/Miami-Dade
104,Richard Stark ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4557&LegislativeTermId=88,4557.jpg,D,Broward
105,Ana Maria Rodriguez ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4719&LegislativeTermId=88,4719.jpg,R,Broward/Collier/Miami-Dade
107,Barbara Watson ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4532&LegislativeTermId=88,4532.jpg,D,Miami-Dade
108,Dotie Joseph ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4716&LegislativeTermId=88,4716.jpg,D,Miami-Dade
109,James Bush III ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4011&LegislativeTermId=88,4011.jpg,D,Miami-Dade
110,Jose R. Oliva¾ ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4534&LegislativeTermId=88,4534.jpg,R,Miami-Dade
111,Bryan Avila ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4615&LegislativeTermId=88,4615.jpg,R,Miami-Dade
112,Nicholas X. Duran ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4650&LegislativeTermId=88,4650.jpg,D,Miami-Dade
113,Michael Grieco ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4715&LegislativeTermId=88,4715.jpg,D,Miami-Dade
114,Javier E. Fernandez ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4705&LegislativeTermId=88,4705.jpg,D,Miami-Dade
115,Vance Arthur Aloupis Jr. ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4713&LegislativeTermId=88,4713.jpg,R,Miami-Dade
116,Daniel Perez ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4690&LegislativeTermId=88,4690.jpg,R,Miami-Dade
117,Kionne L. McGhee ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4555&LegislativeTermId=88,4555.jpg,D,Miami-Dade
118,Anthony Rodriguez ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4711&LegislativeTermId=88,4711.jpg,R,Miami-Dade
119,Juan Alfonso Fernandez-Barquin ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4709&LegislativeTermId=88,4709.jpg,R,iami-Dade
120,Holly Raschein ,State Representative,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4562&LegislativeTermId=88,4562.jpg,R,Miami-Dade/Monroe
